,trainEpisode,evalEpisode,episodeReward,episodeProgress,episodeLapTime,episodeCrash
0,500.0,7.0,15.879999999999981,116.60000000000008,,1.0
0,500.0,8.0,36.64000000000025,231.3000000000001,,1.0
0,500.0,9.0,30.540000000000056,197.70000000000007,,1.0
0,550.0,0.0,42.600000000000264,237.19999999999993,48.4,0.0
0,550.0,1.0,42.68000000000025,237.39999999999984,48.0,0.0
0,550.0,2.0,42.720000000000184,237.49999999999991,47.8,0.0
0,550.0,3.0,7.27,68.89999999999995,,1.0
0,550.0,4.0,42.63000000000022,237.00000000000009,47.7,0.0
0,550.0,5.0,42.64000000000022,237.00000000000003,47.6,0.0
0,550.0,6.0,42.66000000000027,237.40000000000035,48.2,0.0
0,550.0,7.0,14.919999999999977,110.4,,1.0
0,550.0,8.0,42.59000000000024,237.0999999999999,48.3,0.0
0,550.0,9.0,15.639999999999993,115.6000000000002,,1.0
0,600.0,0.0,33.5500000000001,214.70000000000027,,1.0
0,600.0,1.0,6.010000000000003,61.599999999999945,,1.0
0,600.0,2.0,42.60000000000019,237.10000000000045,48.2,0.0
0,600.0,3.0,28.730000000000018,187.60000000000016,,1.0
0,600.0,4.0,28.700000000000017,187.70000000000022,,1.0
0,600.0,5.0,42.68000000000024,237.40000000000018,48.0,0.0
0,600.0,6.0,29.360000000000035,191.3000000000002,,1.0
0,600.0,7.0,42.600000000000264,237.10000000000014,48.2,0.0
0,600.0,8.0,33.70000000000011,215.3999999999999,,1.0
0,600.0,9.0,24.899999999999977,166.50000000000017,,1.0
0,650.0,0.0,42.44000000000028,237.00000000000026,49.6,0.0
0,650.0,1.0,34.23000000000017,219.1000000000004,,1.0
0,650.0,2.0,3.2799999999999994,46.29999999999997,,1.0
0,650.0,3.0,42.53000000000026,237.30000000000047,49.3,0.0
0,650.0,4.0,22.779999999999987,155.2000000000002,,1.0
0,650.0,5.0,35.160000000000196,224.50000000000045,,1.0
0,650.0,6.0,5.799999999999999,60.69999999999999,,1.0
0,650.0,7.0,9.509999999999996,81.4,,1.0
0,650.0,8.0,1.7899999999999965,38.399999999999984,,1.0
0,650.0,9.0,30.600000000000094,198.70000000000033,,1.0
0,700.0,0.0,42.45000000000022,237.2000000000004,49.9,0.0
0,700.0,1.0,42.52000000000029,237.30000000000038,49.4,0.0
0,700.0,2.0,42.500000000000306,237.30000000000038,49.6,0.0
0,700.0,3.0,42.49000000000022,237.10000000000036,49.3,0.0
0,700.0,4.0,42.43000000000028,237.0000000000004,49.7,0.0
0,700.0,5.0,-0.22000000000000242,27.099999999999994,,1.0
0,700.0,6.0,42.47000000000021,237.20000000000044,49.7,0.0
0,700.0,7.0,42.4100000000003,237.10000000000056,50.1,0.0
0,700.0,8.0,42.48000000000029,237.30000000000038,49.8,0.0
0,700.0,9.0,42.50000000000017,237.30000000000032,49.6,0.0
0,750.0,0.0,42.710000000000235,237.4,47.7,0.0
0,750.0,1.0,42.69000000000027,237.30000000000007,47.7,0.0
0,750.0,2.0,42.70000000000026,237.3000000000001,47.6,0.0
0,750.0,3.0,42.65000000000022,237.00000000000006,47.5,0.0
0,750.0,4.0,42.69000000000029,237.20000000000007,47.5,0.0
0,750.0,5.0,42.640000000000256,237.00000000000009,47.6,0.0
0,750.0,6.0,42.7100000000003,237.4,47.7,0.0
0,750.0,7.0,42.7000000000003,237.30000000000004,47.6,0.0
0,750.0,8.0,42.68000000000025,237.20000000000002,47.6,0.0
